,add,latitude,longitude,nearest_sch_index,distance_to_nearest_sch,nearest_sch_lat,nearest_sch_lon,nearest_sch_name,nearest_mrt_index,distance_to_nearest_mrt,nearest_mrt_lat,nearest_mrt_lon,nearest_mrt_name,walk_time_to_school,walk_distance_to_school,walk_time_to_mrt,walk_distance_to_mrt,line
663,466 ANG MO KIO AVE 10,1.36581960538764,103.857061606231,2,1832.4254190738409,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,884.2117076774476,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1742.0,2419.0,846.0,1175.0,NS
664,425 ANG MO KIO AVE 3,1.36912241721255,103.851616057064,2,1767.8300914596352,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,188.75836394440407,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1780.0,2471.0,183.0,254.0,NS
665,424 ANG MO KIO AVE 3,1.36860660305158,103.850808805402,2,1678.8090508075293,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,127.52296375993856,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1688.0,2343.0,145.0,202.0,NS
666,434 ANG MO KIO AVE 10,1.3678915069194,103.85345502653,2,1747.5246195111658,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,423.6655386968311,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1703.0,2365.0,432.0,600.0,NS
667,433 ANG MO KIO AVE 10,1.36807652285135,103.854353042615,2,1820.6901468056767,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,511.261747038568,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1787.0,2481.0,502.0,698.0,NS
668,435 ANG MO KIO AVE 10,1.36770367834269,103.854214313011,2,1777.9914163346637,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,509.81076531293166,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1745.0,2422.0,493.0,686.0,NS
669,450 ANG MO KIO AVE 10,1.36848406233048,103.855468149019,2,1930.8353771172333,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,622.7476044612397,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1941.0,2695.0,560.0,778.0,NS
670,444 ANG MO KIO AVE 10,1.36660045321147,103.855578790668,2,1777.6781686296335,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,697.9821890202012,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1760.0,2444.0,816.0,1134.0,NS
671,465 ANG MO KIO AVE 10,1.3662010408294,103.857200967235,2,1872.5552483544268,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,880.4244775440094,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1775.0,2465.0,804.0,1117.0,NS
672,463 ANG MO KIO AVE 10,1.36694793518613,103.857487648675,2,1952.870855429202,1.3547230747166,103.844874676599,CATHOLIC HIGH SCHOOL,16,881.1609837192433,1.3693473037885635,103.84993299388984,ANG MO KIO MRT STATION,1931.0,2682.0,839.0,1166.0,NS
